_input,_num,_widgetName,_source,_resultNumber,_pageUrl,location,total_results,first_result_title,second_result_title,third_result_title,fourth_result_title,fifth_result_title,sixth_result_title
location:Charlotte NC|,33,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-charlotte-nc/?trk=jserp_search_button_execute,Charlotte NC,193,Data Architect,Data Scientist,Enterprise Architect - Data,IT Data Analyst - (5023),Data Quality Analyst,Senior Database Engineer
location:Washington DC|,25,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-washington-dc/?trk=jserp_search_button_execute,Washington DC,2463,7966: Integrative Data Scientist - Center for the Science of ...,Data Scientist,Big Data Scientist,Sr. Director Data Strategy and Governance,Director Data Architecture,Data Scientist
location:New York NY|,28,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-new-york-ny/?trk=jserp_search_button_execute,New York City NY,2665,Big Data Scientist,Sr. Data Scientist,Corporate & Investment Bank – R&D – Data Science and Analytics –...,Data Modeler For Data Science Team - Digital Marketing - NYC,Data Scientist,Data Scientist
location:San Francisco CA|,5,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-san-francisco-ca/?trk=jserp_search_button_execute,San Francisco CA,2682,Sr. Data Scientist,Global Insights Manager Data Scientist,Senior Data Scientist,Sr. Data Scientist,Senior Data Science Specialist,Data Scientist
location:Columbus OH|,20,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-columbus-oh/?trk=jserp_search_button_execute,Columbus OH,218,Green plum Consultant,Data Warehousing Analyst / Systems Analyst,Systems Analyst/Delivery Consultant Job,Systems Analyst/Delivery Consultant,Targeting Analyst Job,ETL Architect (PL/SQL)
location:Iowa City IA|,15,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-iowa-city-ia/?trk=jserp_search_button_execute,Iowa City IA,23,ASSISTANT/ASSOCIATE PROFESSOR,STATISTICIAN/BIOSTATISTICIAN,Informatica MDM Developer,Applications Engineer Associate,CLIN TRIALS RSRCH ASST/DATA MG(RESEARCH ASSISTANT/DATA MANAGER),Data Analytics Engineer
location:Pittsburgh PA|,18,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-pittsburgh-pa/?trk=jserp_search_button_execute,Pittsburgh PA,241,Data Science Tech Lead - SQL High Scale Data SaaS,Enterprise Data Warehouse/Business Intelligence Developer ...,Data Architect,Data Architect,Software Engineer,Client Relationship Director (CPG Industry experience)
location:San Antonio TX|,13,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-san-antonio-tx/?trk=jserp_search_button_execute,San Antonio TX,245,Cath Lab Technician Certified - Cardiac Cath (PRN) - Methodist ...,Cath Lab Technician Certified - Cardiac Cath (PRN) - Methodist ...,Cath Lab Tech Certified - Cath Lab (Days) - Methodist Texsan Hospital,Cath Lab Tech Certified - Cath Lab (Days) - Methodist Texsan Hospital,Software Implementation Engineer,Director of College Institutional Research
location:San Jose CA|,29,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-san-jose-ca/?trk=jserp_search_button_execute,San Jose CA,3339,iPhone Quality Data Scientist,iPhone Quality Data Scientist,Data Scientist,Senior Data Scientist - Streaming Science & Algorithms,Director of Engineering – Big Data,Big Data - Data Scientist
location:Detroit MI|,12,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-detroit-mi/?trk=jserp_search_button_execute,Detroit MI,354,ETL Data Stage Developer,PLM Data Modeler,ETL Data Stage Developer Job,Cross Channel Analytics Delivery,Principal Performance Measurement Analyst- Revenue Cycle ...,Data Architect
location:Minneapolis MN|,16,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-minneapolis-mn/?trk=jserp_search_button_execute,Minneapolis MN,390,Sr. Presales Solution Architect- CPG Central,Software Engineer - Big Data Analytics,Lead Web Analytics Architect,Corp Tech - Technology Partnership Manager Job,Specialist Enterprise Data Warehouse - Minneapolis MN,Software Engineer - Big Data Analytics
location:Grand Rapids MI|,3,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-grand-rapids-mi/?trk=jserp_search_button_execute,Grand Rapids MI,46,Data Integration Manager,Senior Marketing Analyst,Accountability Analyst,Senior Marketing Analyst Job,Senior Marketing Analyst,Medical Informatics Consultant III
location:Raleigh NC|,7,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-raleigh-nc/?trk=jserp_search_button_execute,Raleigh NC,526,Director Data Science,Clinical Informatics Analyst,Data Modeler Senior Specialist,Data Modeler Senior Specialist,Enterprise Information Architect,Research Software Engineer - Advanced Technology Group
location:Austin TX|,14,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-austin-tx/?trk=jserp_search_button_execute,Austin TX,537,Big Data Expert,Software Engineer Cloudera Navigator,Python Developer,Software Engineer Cloudera Navigator,Data Scientist,Software Engineer Cloud Infrastructure
location:Las Vegas NV|,22,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-las-vegas-nv/?trk=jserp_search_button_execute,Las Vegas NV,65,Software Engineer (Analytics),Aster Presales Solution Architect,Decision Support Application Developer [14396],Application Development Engineer,MRI Image Analyst/Research Engineer,Mid-Level Software Engineer (Java)
location:Denver CO|,19,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-denver-co/?trk=jserp_search_button_execute,Denver CO,663,(Senior) Data Scientist,MDM Data Analyst,Lead Solutions Developer-Big Data,Senior Database Developer and Architect,Sr Business Intelligence - Business Analyst,Aster Presales Solution Architect
location:Philadelphia PA|,8,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-philadelphia-pa/?trk=jserp_search_button_execute,Philadelphia PA,705,Data Scientist - Python Big Data (MapReduce Hadoop),Data Scientist - Director / VP - *RELO OFFERED*,Data Scientist,Presales Solution Architect - Healthcare - Northeast,Data Warehouse Architect (SQL Server),DATA WAREHOUSE ARCHITECT
location:Philadelphia PA|,9,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-philadelphia-pa/?trk=jserp_search_button_execute,Philadelphia PA,705,Data Scientist - Python Big Data (MapReduce Hadoop),Data Scientist - Director / VP - *RELO OFFERED*,Data Scientist,Presales Solution Architect - Healthcare - Northeast,Data Warehouse Architect (SQL Server),DATA WAREHOUSE ARCHITECT
location:Atlanta GA|,31,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-atlanta-ga/?trk=jserp_search_button_execute,Atlanta GA,782,Principal Data Scientist,Senior Data Scientist,Data Scientist,Data Scientist,PG Data Analyst,Senior Data Science Consultant
location:Los Angeles CA|,30,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-los-angeles-ca/?trk=jserp_search_button_execute,Los Angeles CA,959,Principal Data Scientist (Consumer Data and Analytics),Sr. Manager Data Science,Data Scientist,Data Scientist - The next UBER-like Application!,Senior Data Scientist,Senior Data Scientist
