,City of Interest,City,State,Total INC 5000 Businesses in Area,Construction,IT Services,Advertising & Marketing,Government Services,Health,Financial Services,Food & Beverage,Real Estate,Security,Education,Human Resources,Consulting,Manufacturing,Business Products & Services,Logistics & Transportation,Software,Travel & Hospitality,Retail,Telecommunications,Media,Consumer Products & Services,Energy,Insurance,Environmental Services,Engineering,Computer Hardware,Business Services
"Brown+Summit,+NC",,Brown Summit,NC,13,1,2,2,0,1,2,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Brownsboro,+AL",,Brownsboro,AL,21,0,1,1,14,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"Brunswick,+OH",,Brunswick,OH,59,2,6,4,1,7,4,0,2,1,0,5,0,6,10,3,1,0,1,1,2,1,0,1,0,1,0,0
"Bryan,+TX",,Bryan,TX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Budd+Lake,+NJ",,Budd Lake,NJ,55,2,19,1,1,4,2,0,0,0,1,3,0,2,6,1,4,1,0,4,0,0,1,3,0,0,0,0
"Buena+Vista,+VA",,Buena Vista,VA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buffalo,+NY",,Buffalo,NY,12,1,2,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"Buffalo+Grove,+IL",,Buffalo Grove,IL,241,9,46,25,0,15,10,12,6,4,7,11,0,16,22,9,13,1,6,6,3,9,2,1,1,2,5,0
"Buford,+GA",,Buford,GA,94,6,24,7,1,8,4,2,1,2,0,8,0,3,9,0,6,0,3,5,0,2,0,1,1,0,1,0
"Buhler,+KS",,Buhler,KS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Burbank,+CA",,Burbank,CA,167,1,14,29,1,7,8,5,2,2,2,2,0,4,20,6,12,4,12,5,8,12,1,2,1,3,4,0
"Burien,+WA",,Burien,WA,112,0,14,12,0,10,5,2,5,0,0,1,0,5,24,3,10,0,5,2,0,6,3,1,0,3,1,0
"Burke,+VA",,Burke,VA,318,7,80,17,96,10,9,1,8,5,2,7,0,1,24,6,19,5,2,6,2,3,4,0,2,1,1,0
"Burlingame,+CA",,Burlingame,CA,231,4,41,36,0,7,14,12,4,3,7,9,0,4,21,2,27,0,11,7,2,6,4,1,3,1,5,0
"Burlington,+MA",,Burlington,MA,168,5,27,19,3,18,7,3,3,1,3,5,0,5,14,2,17,5,5,7,1,5,5,2,2,4,0,0
"Burlington,+VT",,Burlington,VT,6,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"Burnham,+IL",,Burnham,IL,152,3,25,22,0,8,9,8,5,4,5,7,0,7,15,6,9,1,3,4,2,5,1,1,0,1,1,0
"Burnsville,+MN",,Burnsville,MN,75,4,17,8,0,7,4,1,1,1,0,3,0,0,8,1,6,0,5,2,0,2,4,0,0,1,0,0
"Burr+Ridge,+IL",,Burr Ridge,IL,232,8,43,28,0,13,10,12,5,4,5,11,0,16,22,10,12,1,6,6,3,9,2,1,0,2,3,0
"Byron+Center,+MI",,Byron Center,MI,19,0,3,2,0,0,0,0,0,0,1,3,0,5,0,0,1,0,1,1,0,0,0,0,0,0,2,0
"Calabasas,+CA",,Calabasas,CA,147,1,12,26,1,7,8,5,2,2,2,3,0,4,15,2,12,4,8,5,7,12,1,2,1,2,3,0
"Caldwell,+ID",,Caldwell,ID,9,1,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
"Calhoun,+GA",,Calhoun,GA,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Camarillo,+CA",,Camarillo,CA,34,0,3,4,0,3,1,2,0,0,1,2,0,2,3,1,2,0,2,2,0,4,0,1,0,0,1,0
"Cambridge,+MA",,Cambridge,MA,169,5,28,19,3,18,9,4,3,1,3,5,0,4,14,3,16,6,5,6,1,4,5,2,1,4,0,0
"Camp+Hill,+PA",,Camp Hill,PA,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0
"Campbell,+CA",,Campbell,CA,117,2,30,11,0,3,6,1,1,2,3,4,0,3,11,1,14,0,5,5,0,0,4,0,3,2,6,0
"Campbellsport,+WI",,Campbellsport,WI,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0
"Canastota,+NY",,Canastota,NY,5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Canfield,+OH",,Canfield,OH,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cannon+Falls,+MN",,Cannon Falls,MN,13,0,2,0,0,2,0,2,0,0,0,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0
"Canoga+Park,+CA",,Canoga Park,CA,147,1,12,27,1,7,8,5,2,2,2,2,0,4,15,2,12,4,9,4,7,12,1,2,1,2,3,0
"Canton,+GA",,Canton,GA,104,5,27,6,0,11,5,2,3,2,0,8,0,4,9,1,7,0,4,5,1,1,0,1,1,0,1,0
"Canton,+MI",,Canton,MI,85,3,17,7,1,4,9,3,1,0,2,7,0,3,8,2,4,0,1,3,1,3,1,0,2,3,0,0
"Canton,+OH",,Canton,OH,6,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Carle+Place,+NY",,Carle Place,NY,282,3,38,59,1,16,13,7,3,4,12,10,0,7,25,5,14,7,14,8,14,14,1,2,1,3,1,0
"Carlsbad,+CA",,Carlsbad,CA,30,0,2,2,1,1,0,2,2,0,2,0,0,3,1,1,4,1,2,1,0,2,0,1,2,0,0,0
"Carmel,+IN",,Carmel,IN,38,1,3,3,0,3,2,0,0,2,1,0,0,0,4,4,7,0,1,0,1,3,1,1,0,1,0,0
"Carmi,+IL",,Carmi,IL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carpentersville,+IL",,Carpentersville,IL,145,9,26,9,0,9,5,8,1,0,4,8,0,14,10,6,6,1,5,4,2,7,2,1,1,2,5,0
"Carpinteria,+CA",,Carpinteria,CA,14,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,3,0,0,0,1,0,1,0,0
"Carrboro,+NC",,Carrboro,NC,44,2,3,6,0,6,3,1,0,2,2,5,0,1,1,0,5,0,2,0,0,1,1,0,1,2,0,0
"Carrollton,+TX",,Carrollton,TX,147,8,28,6,0,8,14,5,5,3,0,5,0,9,17,1,7,5,6,5,0,6,5,1,3,0,0,0
"Cary,+NC",,Cary,NC,45,2,3,6,0,7,2,1,0,2,2,5,0,2,1,0,5,0,2,0,0,1,1,0,1,2,0,0
"Casper,+WY",,Casper,WY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casselberry,+FL",,Casselberry,FL,32,3,2,4,1,3,1,0,0,1,0,1,0,0,3,0,6,1,3,1,0,0,0,0,0,2,0,0
"Castle+Rock,+CO",,Castle Rock,CO,81,4,12,10,0,5,2,4,0,1,1,6,0,1,10,0,10,3,1,2,0,6,0,0,0,1,2,0
"Castleton,+NY",,Castleton,NY,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Catonsville,+MD",,Catonsville,MD,125,6,24,9,27,9,4,0,3,2,3,4,0,1,11,2,4,1,2,1,1,4,3,1,0,3,0,0
"Cedar+Falls,+IA",,Cedar Falls,IA,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"Cedar+Park,+TX",,Cedar Park,TX,97,4,10,12,3,7,6,3,4,0,3,0,0,5,7,3,6,1,6,2,1,8,3,1,1,1,0,0
"Cedar+Rapids,+IA",,Cedar Rapids,IA,11,0,2,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0
"Cedarburg,+WI",,Cedarburg,WI,45,1,5,4,1,1,2,0,1,0,0,4,0,7,5,2,1,0,5,0,1,2,0,0,1,2,0,0
"Celebration,+FL",,Celebration,FL,32,3,2,4,1,3,1,0,0,1,0,1,0,0,3,0,6,1,3,1,0,0,0,0,0,2,0,0
"Centennial,+CO",,Centennial,CO,92,5,13,11,0,6,2,6,0,1,1,6,0,1,12,0,10,3,1,3,0,7,0,0,0,2,2,0
"Center+Harbor,+NH",,Center Harbor,NH,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Center+Point,+TX",,Center Point,TX,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centerburg,+OH",,Centerburg,OH,40,1,11,6,1,2,3,1,0,0,0,1,0,0,1,3,2,0,3,1,0,0,2,0,1,1,0,0
"Centreville,+VA",,Centreville,VA,310,6,75,16,95,10,9,1,8,5,2,7,0,1,24,6,19,5,2,6,2,3,4,0,2,1,1,0
"Century+City,+CA",,Century City,CA,167,1,14,28,1,8,8,5,2,2,2,2,0,4,19,6,12,4,13,5,8,12,1,2,1,3,4,0
"Cerritos,+CA",,Cerritos,CA,241,4,22,38,2,10,17,5,8,4,1,7,0,4,28,7,15,4,14,9,10,17,3,3,1,3,5,0
"Chadwick,+IL",,Chadwick,IL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chagrin+Falls,+OH",,Chagrin Falls,OH,57,2,6,4,1,7,4,0,1,2,0,5,0,7,9,1,1,0,0,1,2,2,0,1,0,1,0,0
"Chalfont,+PA",,Chalfont,PA,128,2,22,8,0,16,8,1,2,0,4,9,0,9,15,3,8,2,3,2,1,2,3,4,3,1,0,0
"Champaign,+IL",,Champaign,IL,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Champlin,+MN",,Champlin,MN,75,4,17,8,0,7,3,0,1,1,0,3,0,2,8,2,6,0,4,2,0,2,4,0,0,1,0,0
"Chandler,+AZ",,Chandler,AZ,92,0,13,6,3,12,4,1,3,3,1,1,0,4,9,2,13,0,7,2,0,5,1,0,0,2,0,0
"Chanhassen,+MN",,Chanhassen,MN,76,4,17,8,0,7,3,0,1,1,0,3,0,2,8,2,6,0,5,2,0,2,4,0,0,1,0,0
"Chantilly,+VA",,Chantilly,VA,311,6,76,16,95,10,9,1,8,5,2,7,0,1,24,6,19,5,2,6,2,3,4,0,2,1,1,0
"San+Jose,+CA",1,San Jose,CA,116,2,30,11,0,3,6,1,1,2,3,4,0,3,10,1,14,0,5,5,0,0,4,0,3,2,6,0
"Charleston,+SC",,Charleston,SC,17,0,4,1,0,0,1,1,0,0,1,1,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0
"Charlestown,+MA",,Charlestown,MA,169,5,28,19,3,18,9,4,3,1,3,5,0,4,14,3,16,6,5,6,1,4,5,2,1,4,0,0
"charlotte,+NC",,charlotte,NC,51,4,9,1,0,5,5,2,0,1,0,7,0,4,6,1,3,1,0,0,0,1,0,1,0,0,0,0
"Atlanta,+GA",1,Atlanta,GA,181,5,40,11,2,14,13,5,4,4,0,16,0,8,16,7,13,0,5,7,2,4,1,2,0,0,2,0
"Charlottesville,+VA",,Charlottesville,VA,5,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Chatham,+NJ",,Chatham,NJ,294,5,53,52,1,16,13,7,2,1,11,15,0,3,28,3,18,6,14,10,11,12,3,4,2,3,1,0
"Chatsworth,+CA",,Chatsworth,CA,138,1,12,26,1,7,8,5,2,2,2,2,0,4,12,1,12,4,8,4,7,11,0,2,0,2,3,0
"Chattanooga,+TN",,Chattanooga,TN,7,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"Cheektowaga,+NY",,Cheektowaga,NY,12,1,2,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"Chelmsford,+MA",,Chelmsford,MA,159,5,28,18,3,17,6,4,3,1,3,7,0,5,13,2,16,4,4,4,1,4,5,1,2,3,0,0
"Cherry+Hill,+NJ",,Cherry Hill,NJ,122,4,17,7,0,16,10,1,1,0,3,11,0,8,15,3,7,3,2,1,1,3,3,4,2,0,0,0
"Chesapeake,+VA",,Chesapeake,VA,25,2,6,2,6,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,0,0
"Chester,+PA",,Chester,PA,122,5,21,6,1,16,9,1,1,0,5,12,0,3,14,3,7,2,1,1,1,5,2,3,3,0,0,0
"Chester,+VA",,Chester,VA,23,1,5,2,0,1,0,0,0,0,0,3,0,0,1,2,0,0,4,0,0,4,0,0,0,0,0,0
"Chesterfield,+MO",,Chesterfield,MO,32,1,4,3,0,3,6,1,0,1,1,1,0,1,2,2,1,0,1,0,0,2,0,0,1,1,0,0
"Chesterfield,+MI",,Chesterfield,MI,60,3,12,7,1,1,7,1,0,0,2,7,0,1,6,0,1,0,1,3,1,2,1,0,1,2,0,0
"Chevy+Chase,+MD",,Chevy Chase,MD,351,10,87,17,104,10,10,1,8,5,4,8,0,1,30,6,19,5,2,7,2,5,5,0,2,2,1,0
"Chicago,+IL",1,Chicago,IL,219,8,43,25,0,13,10,10,5,4,6,10,0,13,21,9,12,1,6,6,2,8,2,1,0,1,3,0
"Chino,+CA",,Chino,CA,129,3,11,16,1,8,11,2,5,2,0,6,0,3,15,6,4,1,9,5,2,10,2,2,0,1,4,0
"Christiansburg,+VA",,Christiansburg,VA,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Chula+Vista,+CA",,Chula Vista,CA,86,6,5,8,3,5,7,1,2,0,3,2,0,4,11,0,8,3,3,2,0,4,3,0,1,2,2,1
"Cicero,+IL",,Cicero,IL,237,9,45,27,0,14,10,12,5,4,6,11,0,17,23,9,12,1,6,6,3,8,2,1,0,2,4,0
"Cincinnati,+OH",,Cincinnati,OH,55,0,8,3,0,2,4,2,0,1,0,3,0,7,9,7,0,0,2,1,1,1,0,1,0,3,0,0
"Citrus+Heights,+CA",,Citrus Heights,CA,19,0,3,1,0,2,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,3,1,1,0,1,1,0
"City+of+Industry,+CA",,City of Industry,CA,223,4,20,35,2,10,14,5,7,4,0,6,0,4,27,7,12,4,13,9,9,18,2,3,1,2,5,0
"Clackamas,+OR",,Clackamas,OR,49,1,3,11,0,3,2,3,1,3,0,0,0,2,3,0,8,1,2,3,1,1,0,0,0,1,0,0
"Claremont,+CA",,Claremont,CA,118,3,11,13,1,7,10,2,5,2,0,4,0,3,14,6,4,1,10,5,2,8,1,2,0,1,3,0
"Claremore,+OK",,Claremore,OK,14,0,3,0,0,1,2,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,2,0,0,1,0,0
"Clarence+Center,+NY",,Clarence Center,NY,12,1,2,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"Clarkesville,+GA",,Clarkesville,GA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Clarksville,+MD",,Clarksville,MD,329,9,76,19,92,11,11,1,7,4,3,8,0,1,31,5,20,4,3,5,3,5,5,1,1,3,1,0
"Clarksville,+VA",,Clarksville,VA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Claysville,+PA",,Claysville,PA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clayton,+NC",,Clayton,NC,33,2,2,5,0,6,1,0,0,2,1,4,0,2,1,0,2,0,0,0,0,1,1,0,1,2,0,0
"Clayton,+MO",,Clayton,MO,34,1,4,3,1,3,6,1,0,1,1,1,0,1,2,3,1,0,1,0,0,2,0,0,1,1,0,0
"Clearwater,+FL",,Clearwater,FL,60,1,10,6,6,7,1,0,3,1,0,1,0,2,6,1,4,0,3,3,0,2,0,2,0,0,1,0
"Cleatwater,+FL",,Cleatwater,FL,60,1,10,6,6,7,1,0,3,1,0,1,0,2,6,1,4,0,3,3,0,2,0,2,0,0,1,0
"Cleveland,+OH",,Cleveland,OH,61,2,6,3,1,8,4,0,2,2,0,5,0,8,10,1,1,0,1,1,2,2,0,1,0,1,0,0
"Cleveland,+MO",,Cleveland,MO,31,1,6,4,1,2,2,1,1,2,1,1,0,1,3,3,1,0,0,0,0,0,0,0,1,0,0,0
"Clifton+Park,+NY",,Clifton Park,NY,16,0,3,1,0,2,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,2,1,0,0,0,0,0
"Clinton,+NJ",,Clinton,NJ,67,1,20,3,1,6,3,0,1,0,1,5,0,6,4,2,2,0,1,3,0,0,2,4,1,1,0,0
"Cloverdale,+IN",,Cloverdale,IN,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut+Creek,+FL",,Coconut Creek,FL,80,2,10,10,0,9,5,0,1,1,2,4,0,3,6,3,4,4,4,1,1,5,2,2,0,1,0,0
"Coeur+D+Alene,+ID",,Coeur D Alene,ID,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Coeur+D'+Alene,+ID",,Coeur D' Alene,ID,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Coeur+d'Alene,+ID",,Coeur d'Alene,ID,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Cohoes,+NY",,Cohoes,NY,16,0,3,1,0,2,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,2,1,0,0,0,0,0
"Colden,+NY",,Colden,NY,12,1,2,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"Colonia,+NJ",,Colonia,NJ,301,5,58,52,1,15,12,6,2,1,11,16,0,4,26,4,18,6,15,9,13,14,3,3,2,4,1,0
"Colorado+Springs,+CO",,Colorado Springs,CO,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Colts+Neck,+NJ",,Colts Neck,NJ,86,1,24,4,1,5,2,4,0,0,3,6,0,2,6,1,7,1,5,1,2,6,2,1,1,1,0,0
"Columbia,+MD",,Columbia,MD,248,8,51,13,72,11,9,1,6,3,3,6,0,1,24,4,13,3,3,2,1,5,5,1,0,3,0,0
"Columbia,+SC",,Columbia,SC,9,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0
"Columbia,+MO",,Columbia,MO,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Boulder,+CO",1,Boulder,CO,98,3,13,13,1,5,0,9,1,1,1,4,0,0,14,0,12,1,1,3,0,6,3,1,1,3,2,0
"Columbus,+MS",,Columbus,MS,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Columbus,+IN",,Columbus,IN,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbus,+GA",,Columbus,GA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Colusa,+CA",,Colusa,CA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Concord,+CA",,Concord,CA,146,2,19,25,0,3,10,10,3,1,5,6,0,4,16,2,16,0,7,2,1,6,3,1,1,0,3,0
"Concord,+NC",,Concord,NC,50,4,8,1,0,6,5,2,0,1,0,7,0,3,6,1,3,1,0,0,0,1,0,1,0,0,0,0
"Concord,+NH",,Concord,NH,7,0,3,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Conroe,+TX",,Conroe,TX,13,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,3,0,1,0,0,0
"Conshohocken,+PA",,Conshohocken,PA,129,4,19,8,0,17,10,1,1,0,5,11,0,6,15,3,7,3,2,1,1,5,3,4,3,0,0,0
"Conyers,+GA",,Conyers,GA,117,3,22,8,2,6,9,4,2,2,0,11,0,6,13,4,7,0,3,5,1,4,1,2,0,0,2,0
"Coplay,+PA",,Coplay,PA,11,0,2,1,0,2,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Coppell,+TX",,Coppell,TX,149,8,28,6,1,8,14,5,5,3,0,5,0,9,17,1,7,5,6,5,0,7,5,1,3,0,0,0
"Coral+Gables,+FL",,Coral Gables,FL,65,2,9,7,0,7,3,2,1,0,1,4,0,0,7,4,0,2,6,1,1,4,2,1,0,1,0,0
"Coral+Springs,+FL",,Coral Springs,FL,80,2,10,10,0,9,5,0,1,1,2,4,0,3,6,3,4,4,4,1,1,5,2,2,0,1,0,0
"Coralville,+IA",,Coralville,IA,11,0,2,0,0,2,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0
"Corbin,+KY",,Corbin,KY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cordova,+TN",,Cordova,TN,14,0,0,2,0,1,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0
"Corona,+CA",,Corona,CA,127,4,11,14,1,8,12,2,6,2,0,7,0,4,15,3,6,0,4,6,3,11,2,2,0,0,4,0
"Coronado,+CA",,Coronado,CA,86,6,5,8,3,5,7,1,2,0,3,2,0,4,11,0,8,3,3,2,0,4,3,0,1,2,2,1
"Corpus+Christi,+TX",,Corpus Christi,TX,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Corte+Madera,+CA",,Corte Madera,CA,134,2,12,26,0,5,7,12,4,1,5,7,0,3,14,1,15,0,6,2,3,6,2,1,0,0,0,0
"Corvallis,+OR",,Corvallis,OR,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Costa+Mesa,+CA",,Costa Mesa,CA,133,3,13,14,1,6,12,2,5,2,0,7,0,2,16,7,6,0,5,7,3,11,3,2,1,1,4,0
"Cotati,+CA",,Cotati,CA,14,0,1,0,0,1,1,2,0,0,1,1,0,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0
"Countryside,+IL",,Countryside,IL,236,8,45,27,0,13,10,12,5,4,6,11,0,17,23,10,12,1,6,6,3,9,2,1,0,2,3,0
"Coventry,+RI",,Coventry,RI,20,0,3,2,0,1,2,2,0,1,0,1,0,0,1,1,1,0,2,1,0,0,1,1,0,0,0,0
"Covina,+CA",,Covina,CA,184,4,20,27,1,6,13,5,6,4,0,4,0,5,22,7,9,3,13,7,7,11,1,3,0,1,5,0
"Covington,+KY",,Covington,KY,55,0,8,3,0,2,4,2,0,1,0,3,0,7,9,7,0,0,2,1,1,1,0,1,0,3,0,0
"Cranberry+Twp,+PA",,Cranberry Twp,PA,27,2,5,4,0,2,2,0,1,0,1,0,0,0,1,3,1,0,0,1,0,1,0,0,0,3,0,0
"Cranbury,+NJ",,Cranbury,NJ,86,1,25,4,1,6,3,1,1,0,3,6,0,4,6,1,7,1,4,1,2,2,3,2,1,1,0,0
"Cranston,+RI",,Cranston,RI,27,0,4,2,0,2,3,2,0,1,0,1,0,1,2,1,1,1,2,2,0,0,1,1,0,0,0,0
"Crest+Hill,+IL",,Crest Hill,IL,85,4,14,7,0,4,5,6,0,0,1,5,0,10,6,6,2,0,3,2,2,3,2,1,0,1,1,0
"Crown+Point,+IN",,Crown Point,IN,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Culver+City,+CA",,Culver City,CA,171,1,15,28,1,8,8,5,2,3,2,2,0,5,20,6,12,4,13,5,8,12,1,2,1,3,4,0
"Cumming,+GA",,Cumming,GA,100,6,24,7,1,8,5,2,2,2,0,9,0,3,9,1,8,0,3,5,0,2,0,1,1,0,1,0
"Cupertino,+CA",,Cupertino,CA,118,2,30,11,0,3,6,1,1,2,3,5,0,3,10,1,15,0,5,5,0,0,4,0,3,2,6,0
"Seattle,+WA",1,Seattle,WA,113,0,14,12,0,10,5,2,5,0,0,1,0,6,24,3,10,0,5,2,0,6,3,1,0,3,1,0
"Dana+Point,+CA",,Dana Point,CA,115,3,10,13,2,5,12,2,6,1,0,7,0,3,11,3,8,0,3,6,2,11,2,3,0,0,2,0
"Dane,+WI",,Dane,WI,11,0,2,0,0,3,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"Danvers,+MA",,Danvers,MA,155,5,25,18,2,16,7,4,3,1,2,4,0,5,14,2,16,5,5,5,1,4,4,2,2,3,0,0
"Danville,+CA",,Danville,CA,178,2,25,29,0,6,10,11,4,1,4,8,0,4,18,2,24,0,10,3,2,5,6,0,1,0,3,0
"Dardenne+Prairie,+MO",,Dardenne Prairie,MO,9,0,1,1,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"Davis,+CA",,Davis,CA,14,0,2,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,2,1,0,0,1,1,0
"Dayton,+OH",,Dayton,OH,19,1,4,0,1,1,0,0,0,0,1,0,0,3,3,0,0,0,1,1,0,0,2,0,0,1,0,0
"Deer+Park,+TX",,Deer Park,TX,89,0,11,4,0,7,3,1,1,1,0,6,0,2,12,3,9,0,2,1,0,4,17,1,1,3,0,0
"Deer+Park,+IL",,Deer Park,IL,146,9,26,8,0,9,5,9,1,0,4,8,0,14,11,6,6,1,6,4,2,6,2,1,1,2,5,0
"Deerfield,+IL",,Deerfield,IL,228,9,42,25,0,14,10,11,6,4,7,11,0,14,21,9,12,1,6,6,2,8,2,1,1,2,4,0
"Deerfield+Beach,+FL",,Deerfield Beach,FL,83,3,11,10,1,8,5,1,1,1,2,4,0,4,6,2,4,4,4,1,1,5,2,2,0,1,0,0
"Delray+Beach,+FL",,Delray Beach,FL,72,3,9,11,1,6,4,1,1,1,2,4,0,4,6,2,4,4,1,1,1,2,1,2,0,1,0,0
"Denton,+TX",,Denton,TX,88,4,23,4,0,5,9,2,5,2,0,2,0,4,9,1,2,2,4,4,0,2,2,1,1,0,0,0
"Houston,+TX",1,Houston,TX,102,1,13,6,0,8,3,1,2,1,1,6,0,2,12,3,9,1,3,1,0,4,19,1,2,3,0,0
"Denville,+NJ",,Denville,NJ,269,3,48,51,1,16,13,3,2,1,11,14,0,6,27,2,15,5,9,10,11,8,3,4,2,3,1,0
"Dequeen,+AR",,Dequeen,AR,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
