_input,_num,_widgetName,_source,_resultNumber,_pageUrl,location,total_results,first_result_title,second_result_title,third_result_title,fourth_result_title,fifth_result_title,sixth_result_title
location:Orlando FL|,16,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-orlando-fl/?trk=jserp_search_button_execute,Orlando FL,141,Decision Science Project/Technical Manager,Decision Science Project/Technical Manager,Decision Science Consultant,IT Data Analyst - (5023),Manager Decision Science,School Reporting Coordinator
location:Los Angeles CA|,17,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-los-angeles-ca/?trk=jserp_search_button_execute,Los Angeles CA,976,Principal Data Scientist (Consumer Data and Analytics),Data Scientist,Data Scientist - The next UBER-like Application!,Senior Data Scientist,Senior Data Scientist,Enterprise Applications Software Engineer I
location:New York NY|,18,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-new-york-ny/?trk=jserp_search_button_execute,New York City NY,2669,Big Data Scientist,Sr. Data Scientist,Corporate & Investment Bank – R&D – Data Science and Analytics –...,Data Scientist,Data Scientist,Data Scientist
location:Atlanta GA|,19,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-atlanta-ga/?trk=jserp_search_button_execute,Atlanta GA,785,Principal Data Scientist,Senior Data Scientist,Data Scientist,Data Scientist,Data Scientist,PG Data Analyst
location:Tampa FL|,20,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-tampa-fl/?trk=jserp_search_button_execute,Tampa FL,147,Director Data Science - (DR12705),IT Data Analyst - (5023),DATA MODELING SPECIALIST,DATA MODELING SPECIALIST,DATA MODELING LEAD,Data Architect
location:Gran Rapids MI|,21,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-gran-rapids-mi/?trk=jserp_search_button_execute,Grand Rapids MI,44,Data Integration Manager,Senior Marketing Analyst,Accountability Analyst,Senior Marketing Analyst Job,Senior Marketing Analyst,Medical Informatics Consultant III
location:Chicago IL|,22,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-chicago-il/?trk=jserp_search_button_execute,Chicago IL,1118,Data Scientist,Sr Data Scientist,Data Scientist GE Capital Americas Analytics COE,VP of Data Science,Data Scientist,Sr. Data Architect/Strategy Consultant
location:Hartford CT|,23,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-hartford-ct/?trk=jserp_search_button_execute,Hartford CT,183,Information Delivery  Big Data Analyst,Data Engineer,Enterprise Data Architect,Consultant Data Management - with Metadata Report Development,Sr. Informatics Manager,Data Scientist Pharmacy (open to any location)
location:Portland OR|,24,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-portland-or/?trk=jserp_search_button_execute,Portland OR,320,Lead Hadoop Engineer - Consumer Digital Technology (Portland OR - ...,Data Acquisition Integrity Engineer,Aster Presales Solution Architect,Data Architect,Developer: Cloud Data Management,Business Intelligence Team Member
location:Charlotte NC|,25,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-charlotte-nc/?trk=jserp_search_button_execute,Charlotte NC,202,Data Architect,Data Scientist,Enterprise Architect - Data,Data Scientist for Fortune 100 company,IT Data Analyst - (5023),Data Quality Analyst
location:Minneapolis MN|,26,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-minneapolis-mn/?trk=jserp_search_button_execute,Minneapolis MN,371,Sr. Presales Solution Architect- CPG Central,Software Engineer - Big Data Analytics,Specialist Enterprise Data Warehouse - Minneapolis MN,Software Engineer - Big Data Analytics,Analytics Architecture Manager,Data Quality Analyst - Life Sciences R&D
location:Pittsburgh PA|,27,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-pittsburgh-pa/?trk=jserp_search_button_execute,Pittsburgh PA,248,Data Science Tech Lead - SQL High Scale Data SaaS,Enterprise Data Warehouse/Business Intelligence Developer ...,Data Architect,Data Architect,Sr. Data Developer,Software Engineer
location:Raleigh NC|,28,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-raleigh-nc/?trk=jserp_search_button_execute,Raleigh NC,522,Clinical Informatics Analyst,Data Modeler Senior Specialist,Data Modeler Senior Specialist,Enterprise Information Architect,Research Software Engineer - Advanced Technology Group,Principal Data Center Network Architect
location:Seattle WA|,29,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-seattle-wa/?trk=jserp_search_button_execute,Seattle WA,1361,DATA SCIENTIST II-Operating Systems Group,SR DATA SCIENTIST,DATA SCIENTIST II,SR DATA SCIENTIST,DATA SCIENTIST eSCIENCE INSTITUTE,Data Scientist
location:San Francisco CA|,30,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-san-francisco-ca/?trk=jserp_search_button_execute,San Francisco CA,2747,Sr. Data Scientist,Global Insights Manager Data Scientist,Senior Data Scientist,Sr. Data Scientist,Senior Data Science Specialist,Data Scientist
location:Boston MA|,31,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-boston-ma/?trk=jserp_search_button_execute,Boston MA,1873,Data Scientist (Big Data Analytics) - Travel Intelligence Organization,Senior Data Scientist (Big Data),Senior Data Scientist (Big Data),Vice President Architecture for Data and Business Intelligence,Data Scientist - Machine Learning,Big Data Lead Engineer/Senior Software Engineer
location:Miami FL|,32,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-miami-fl/?trk=jserp_search_button_execute,Miami FL,144,Big Data/Hadoop Engineer,Senior Software Engineer,Big Data/Hadoop Engineer,Enterprise Data Architect IT Managed Care Decision Support,BIG DATA PERFORMANCE ENGINEER,Cloud and Data Center Product Manager
location:Sacramento CA|,33,Data Science Location Count,Data Science Location Count,1,http://www.linkedin.com/job/data-science-jobs-sacramento-ca/?trk=jserp_search_button_execute,Sacramento CA,116,Director of Software Development and Data Architecture,SSD Solution Architect,MQM Senior Big Data Engineer,MQM - Senior Big Data Engineer,Aster Presales Solution Architect,Associate Operations Engineer
